input_text,target_text
Send a message to Rahul to send a summary of today’s meeting,Send a summary of today’s meeting
Send a message to John to book the conference room,Book the conference room
Remind Priya to upload the test results,Upload the test results
Ask Neha to send a summary of today’s meeting,Send a summary of today’s meeting
Ask Sneha if they can schedule the client meeting,Can you schedule the client meeting?
Remind Priya to review the presentation slides,Review the presentation slides
Send a message to Isha to schedule the client meeting,Schedule the client meeting
Ask Neha to review the presentation slides,Review the presentation slides
Remind Priya to review the latest pull request,Review the latest pull request
Send a message to Ankit to upload the test results,Upload the test results
Ask Rina to review the latest pull request,Review the latest pull request
Send a message to Karan to push the changes to GitHub,Push the changes to GitHub
Ping Ankit and prepare the meeting notes,Prepare the meeting notes
Send a message to Karan to check the bug fixes,Check the bug fixes
Remind Meera to review the presentation slides,Review the presentation slides
Ask Karan if they can upload the test results,Can you upload the test results?
Tell Karan to upload the test results,Upload the test results
Message Meera to submit the daily report,Submit the daily report
Remind Neha to send a summary of today’s meeting,Send a summary of today’s meeting
Ping Neha and submit the daily report,Submit the daily report
Inform Rahul to book the conference room,Book the conference room
Ask Rohit to submit the daily report,Submit the daily report
Request Rina to upload the test results,Upload the test results
Send a message to Alex to book the conference room,Book the conference room
Inform Divya to prepare the meeting notes,Prepare the meeting notes
Tell Neha to bring the laptop tomorrow,Bring the laptop tomorrow
Request Rahul to review the latest pull request,Review the latest pull request
Send a message to Alex to schedule the client meeting,Schedule the client meeting
Text Neha to push the changes to GitHub,Push the changes to GitHub
Ask Neha to send a summary of today’s meeting,Send a summary of today’s meeting
Inform Karan to upload the test results,Upload the test results
Ping Sanjay and check the bug fixes,Check the bug fixes
Send a message to Isha to finalize the budget report,Finalize the budget report
Text Karan to bring the laptop tomorrow,Bring the laptop tomorrow
Remind Karan to book the conference room,Book the conference room
Remind Karan to update the deployment plan,Update the deployment plan
Message Rina to schedule the client meeting,Schedule the client meeting
Ping Rahul and finalize the budget report,Finalize the budget report
Inform Isha to send a summary of today’s meeting,Send a summary of today’s meeting
Ask Divya to bring the laptop tomorrow,Bring the laptop tomorrow
Message Sneha to schedule the client meeting,Schedule the client meeting
Text Karan to book the conference room,Book the conference room
Inform Karan to submit the daily report,Submit the daily report
Inform Alex to draft the new proposal,Draft the new proposal
Ask Rahul to check the bug fixes,Check the bug fixes
Ask Rina to upload the test results,Upload the test results
Ask Priya if they can send a summary of today’s meeting,Can you send a summary of today’s meeting?
Remind Ankit to submit the daily report,Submit the daily report
Inform Neha to share the new code files,Share the new code files
Ask Divya if they can book the conference room,Can you book the conference room?
Message John to send a summary of today’s meeting,Send a summary of today’s meeting
Ask Karan to review the latest pull request,Review the latest pull request
Text Riya to share the onboarding document,Share the onboarding document
Tell Rahul to send the invoice to finance,Send the invoice to finance
Inform Alex to review the latest pull request,Review the latest pull request
Send a message to Sanjay to upload the test results,Upload the test results
Ask Rahul if they can share the onboarding document,Can you share the onboarding document?
Text Neha to submit the daily report,Submit the daily report
Send a message to Meera to share the onboarding document,Share the onboarding document
Ask Isha if they can send the invoice to finance,Can you send the invoice to finance?
Remind Rohit to upload the test results,Upload the test results
Ping Ankit and send me the project update,Send me the project update
Send a message to Rahul to draft the new proposal,Draft the new proposal
Ask Alex to finalize the budget report,Finalize the budget report
Ask Rahul if they can plan the next sprint tasks,Can you plan the next sprint tasks?
Request Alex to prepare the meeting notes,Prepare the meeting notes
Request Neha to send the invoice to finance,Send the invoice to finance
Remind John to confirm interview timings,Confirm interview timings
Ping Isha and share the new code files,Share the new code files
Ask Priya if they can schedule the client meeting,Can you schedule the client meeting?
Send a message to Sneha to plan the next sprint tasks,Plan the next sprint tasks
Ask Neha if they can submit the daily report,Can you submit the daily report?
Message Riya to send the invoice to finance,Send the invoice to finance
Request Sanjay to check the bug fixes,Check the bug fixes
Text Rahul to share the new code files,Share the new code files
Send a message to John to prepare the meeting notes,Prepare the meeting notes
Inform Alex to draft the new proposal,Draft the new proposal
Ask Neha if they can send a summary of today’s meeting,Can you send a summary of today’s meeting?
